Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
65,"['wheel', 'wheel', 'wheel']",[0.78530854 0.7759446  0.6288634 ],"[503.82171630859375, 307.762939453125, 1205.255126953125]","[357.3038330078125, 357.1463317871094, 365.7106628417969]","[711.9170532226562, 515.2410278320312, 1279.706787109375]","[547.8338012695312, 538.1083984375, 554.302734375]"
66,"['wheel', 'wheel', 'wheel']",[0.8080672 0.6513549 0.7905303],"[528.7493286132812, 1234.7889404296875, 328.9463806152344]","[357.7875061035156, 380.2795104980469, 356.9720764160156]","[736.3878173828125, 1279.64697265625, 537.2179565429688]","[549.1871948242188, 542.6182250976562, 539.7412109375]"
67,"['wheel', 'wheel']",[0.81286734 0.79310596],"[553.3324584960938, 351.1923828125]","[357.8364562988281, 357.35333251953125]","[760.112548828125, 560.1044921875]","[550.4862060546875, 540.6196899414062]"
68,"['wheel', 'wheel']",[0.80069196 0.81757444],"[372.8002624511719, 577.3112182617188]","[357.69140625, 358.3656005859375]","[583.3113403320312, 785.3484497070312]","[542.0570068359375, 551.7600708007812]"
69,"['wheel', 'wheel']",[0.8311431  0.82893884],"[396.0951232910156, 602.57666015625]","[357.0320739746094, 357.59613037109375]","[606.6162109375, 812.358154296875]","[543.504150390625, 552.9772338867188]"
70,"['wheel', 'wheel']",[0.82782817 0.8267118 ],"[419.06549072265625, 626.8713989257812]","[357.722900390625, 358.3583068847656]","[630.0643920898438, 841.2188110351562]","[544.9395751953125, 553.4480590820312]"
71,"['wheel', 'wheel']",[0.81873685 0.81873685],"[441.7362976074219, 653.040283203125]","[357.3132019042969, 357.81512451171875]","[653.5703125, 869.112060546875]","[545.2813110351562, 554.6592407226562]"
72,"['wheel', 'wheel']",[0.81405276 0.81405276],"[464.77386474609375, 677.9113159179688]","[357.52191162109375, 358.0161437988281]","[675.1279296875, 897.964111328125]","[546.0989379882812, 556.135986328125]"
73,"['wheel', 'wheel']",[0.8198933  0.82893884],"[488.6964111328125, 704.9674072265625]","[357.26690673828125, 358.0838317871094]","[698.9744873046875, 927.3137817382812]","[547.2826538085938, 558.071044921875]"
74,"['wheel', 'wheel']",[0.8311431 0.8344069],"[513.4967041015625, 731.87109375]","[357.9371337890625, 357.99090576171875]","[722.5845947265625, 956.7481079101562]","[548.675048828125, 559.3457641601562]"
75,"['wheel', 'wheel']",[0.8322367  0.83004373],"[758.0858764648438, 537.8153076171875]","[357.8583984375, 357.435546875]","[986.7987670898438, 746.24609375]","[560.9996948242188, 550.2618408203125]"
76,"['wheel', 'wheel']",[0.81873685 0.8244619 ],"[783.6596069335938, 562.4451904296875]","[357.75372314453125, 357.2927551269531]","[1017.4813232421875, 770.5029296875]","[561.6959228515625, 551.6296997070312]"
77,"['wheel', 'wheel']",[0.83004373 0.83867973],"[806.9821166992188, 586.6583862304688]","[357.7420959472656, 357.94769287109375]","[1047.0323486328125, 796.255859375]","[563.2845458984375, 552.1915893554688]"
78,"['wheel', 'wheel']",[0.8152325 0.8244619],"[831.8598022460938, 612.0931396484375]","[357.59332275390625, 357.5788879394531]","[1079.357177734375, 824.95751953125]","[564.5201416015625, 553.0794677734375]"
79,"['wheel', 'wheel']",[0.81047887 0.8092759 ],"[857.0113525390625, 637.75439453125]","[357.3994140625, 357.5369873046875]","[1110.470458984375, 852.5765991210938]","[565.6070556640625, 554.236328125]"
80,"['wheel', 'wheel']",[0.7799929 0.8092759],"[881.2921142578125, 663.5589599609375]","[357.08905029296875, 357.8548278808594]","[1141.134033203125, 881.1849975585938]","[567.7694702148438, 555.850341796875]"
